isn_vinculo;num_ano;num_mes;94;97;101;140;204;302;303;316;317;1236;1367;1369;IF_label;IF_score;anomalo
131686;2007;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;792.12;0.0;0.0;0.0;0.0;1;0.051514209712399284;0
140996;2007;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;837.38;0.0;0.0;0.0;0.0;1;0.0494376852896371;0
167224;2007;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;561.3;0.0;0.0;0.0;0.0;1;0.057098839785717725;0
167298;2007;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368.86;0.0;0.0;0.0;0.0;1;0.06016193105383144;0
167426;2007;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3486.35;0.0;0.0;0.0;0.0;-1;-0.030150212109389174;1
296906;2007;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;488.01;0.0;0.0;0.0;0.0;1;0.05813978460691693;0
296991;2007;11;0.0;0.0;0.0;0.0;0.0;547.74;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0014957559299740852;0
297006;2007;11;0.0;0.0;0.0;0.0;0.0;880.49;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.0127602777292114;1
297083;2007;11;0.0;0.0;0.0;0.0;0.0;855.62;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.012377414318359148;1
297612;2007;11;0.0;0.0;0.0;0.0;0.0;155.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.02996898262821912;0
320503;2007;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;384.19;4875.94;0.0;0.0;0.0;-1;-0.06713043261391871;1
14097;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1866.03;0.0;0.0;0.0;0.0;1;0.019904235841944118;0
18427;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;480.16;0.0;0.0;0.0;0.0;1;0.058774682497837794;0
18687;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;759.36;0.0;0.0;0.0;0.0;1;0.05125533166998353;0
130706;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2689.11;0.0;0.0;0.0;0.0;1;0.0004574416028853001;0
130920;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;378.19;0.0;0.0;0.0;0.0;1;0.05979409574978606;0
131686;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;792.12;0.0;0.0;0.0;0.0;1;0.051514209712399284;0
140996;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;837.38;0.0;0.0;0.0;0.0;1;0.0494376852896371;0
144750;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;249.45;1022.75;0.0;0.0;0.0;1;0.00012054256910010164;0
144751;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;124.73;511.39;0.0;0.0;0.0;1;0.024843309529513635;0
144752;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;124.73;511.39;0.0;0.0;0.0;1;0.024843309529513635;0
167224;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;561.3;0.0;0.0;0.0;0.0;1;0.057098839785717725;0
167298;2007;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368.86;0.0;0.0;0.0;0.0;1;0.06016193105383144;0
