isn_vinculo;num_ano;num_mes;8;15;18;19;21;51;52;54;78;86;91;97;137;140;152;160;161;185;188;199;204;207;297;312;324;329;371;669;1232;1233;1352;1367;1369;1404;1454;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
130960;2007;5;0.0;89.64;0.0;0.0;0.0;0.0;149.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.029081515037688244;-1;-3.078910569964677e-05;1
131547;2007;5;544.82;81.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11543939329416653;1;1.1443479437076722;0
131978;2007;5;0.0;35.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;126.83;0.0;0.0;42.46;0.0;0.0;210.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.01819226996198281;-1;-0.00012244059888777414;1
167410;2007;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.007689805147543194;1;0.0685973831300295;0
173594;2007;5;740.53;185.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11464438967004664;1;1.1465275937733446;0
173612;2007;5;0.0;164.72;0.0;0.0;0.0;0.0;0.0;0.0;954.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;470.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.057970518426604445;1;0.8068630814669775;0
174089;2007;5;762.75;228.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;109.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.061076613363249155;1;1.2000645135252808;0
218734;2007;5;494.16;74.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11356176437659998;1;1.1365791141851278;0
266666;2007;5;762.75;152.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0938406459497847;1;1.2629527266011755;0
296913;2007;5;0.0;134.46;0.0;147.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;448.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.06186176857191755;1;0.8652897348188722;0
